"","year","numbers","Proportion"
"419","year1988","23",0.0246913580246914
"420","year1989","23",0.0216049382716049
"421","year1990","23",0.00617283950617284
"422","year1991","23",0.0185185185185185
"423","year1992","23",0.0154320987654321
"424","year1993","23",0.0185185185185185
"425","year1994","23",0.0246913580246914
"426","year1995","23",0.0216049382716049
"427","year1996","23",0.0277777777777778
"428","year1997","23",0.0154320987654321
"429","year1998","23",0.00925925925925926
"430","year1999","23",0.0432098765432099
"431","year2000","23",0.0277777777777778
"432","year2001","23",0.037037037037037
"433","year2002","23",0.0339506172839506
"434","year2003","23",0.037037037037037
"435","year2004","23",0.0154320987654321
"436","year2005","23",0.0246913580246914
"437","year2006","23",0.0246913580246914
"438","year1988","24",0.0308641975308642
"439","year1989","24",0.0185185185185185
"440","year1990","24",0.0308641975308642
"441","year1991","24",0.0277777777777778
"442","year1992","24",0.0339506172839506
"443","year1993","24",0.0216049382716049
"444","year1994","24",0.0339506172839506
"445","year1995","24",0.0277777777777778
"446","year1996","24",0.0308641975308642
"447","year1997","24",0.0185185185185185
"448","year1998","24",0.0277777777777778
"449","year1999","24",0.0216049382716049
"450","year2000","24",0.0277777777777778
"451","year2001","24",0.0185185185185185
"452","year2002","24",0.0185185185185185
"453","year2003","24",0.0277777777777778
"454","year2004","24",0.0216049382716049
"455","year2005","24",0.0308641975308642
"456","year2006","24",0.0246913580246914
"457","year1988","25",0.0216049382716049
"458","year1989","25",0.0246913580246914
"459","year1990","25",0.0308641975308642
"460","year1991","25",0.0216049382716049
"461","year1992","25",0.0339506172839506
"462","year1993","25",0.0154320987654321
"463","year1994","25",0.0308641975308642
"464","year1995","25",0.0246913580246914
"465","year1996","25",0.0308641975308642
"466","year1997","25",0.0246913580246914
"467","year1998","25",0.0185185185185185
"468","year1999","25",0.0339506172839506
"469","year2000","25",0.0246913580246914
"470","year2001","25",0.0123456790123457
"471","year2002","25",0.037037037037037
"472","year2003","25",0.037037037037037
"473","year2004","25",0.0216049382716049
"474","year2005","25",0.0246913580246914
"475","year2006","25",0.0308641975308642
"476","year1988","26",0.00617283950617284
"477","year1989","26",0.0401234567901235
"478","year1990","26",0.0339506172839506
"479","year1991","26",0.0308641975308642
"480","year1992","26",0.0185185185185185
"481","year1993","26",0.0308641975308642
"482","year1994","26",0.0185185185185185
"483","year1995","26",0.0216049382716049
"484","year1996","26",0.0246913580246914
"485","year1997","26",0.0277777777777778
"486","year1998","26",0.0277777777777778
"487","year1999","26",0.037037037037037
"488","year2000","26",0.0246913580246914
"489","year2001","26",0.0185185185185185
"490","year2002","26",0.0277777777777778
"491","year2003","26",0.0216049382716049
"492","year2004","26",0.0308641975308642
"493","year2005","26",0.0246913580246914
"494","year2006","26",0.0246913580246914
"495","year1988","27",0.0308641975308642
"496","year1989","27",0.0432098765432099
"497","year1990","27",0.0185185185185185
"498","year1991","27",0.0246913580246914
"499","year1992","27",0.0216049382716049
"500","year1993","27",0.0185185185185185
"501","year1994","27",0.0216049382716049
"502","year1995","27",0.0123456790123457
"503","year1996","27",0.0216049382716049
"504","year1997","27",0.0185185185185185
"505","year1998","27",0.0154320987654321
"506","year1999","27",0.037037037037037
"507","year2000","27",0.058641975308642
"508","year2001","27",0.0432098765432099
"509","year2002","27",0.0339506172839506
"510","year2003","27",0.0277777777777778
"511","year2004","27",0.0277777777777778
