"","year","numbers"
"1099","year1991","17"
"1100","year1991","37"
"1101","year1991","12"
"1102","year1991","22"
"1103","year1991","33"
"1104","year1991","30"
"1105","year1991","31"
"1106","year1991","32"
"1107","year1991","1"
"1108","year1991","18"
"1109","year1991","33"
"1110","year1991","23"
"1111","year1991","34"
"1112","year1991","18"
"1113","year1991","5"
"1114","year1991","32"
"1115","year1991","9"
"1116","year1991","15"
"1117","year1991","3"
"1118","year1991","2"
"1119","year1991","6"
"1120","year1991","14"
"1121","year1991","1"
"1122","year1991","30"
"1123","year1991","25"
"1124","year1991","21"
"1125","year1991","23"
"1126","year1991","33"
"1127","year1991","35"
"1128","year1991","38"
"1129","year1991","22"
"1130","year1991","28"
"1131","year1991","5"
"1132","year1991","38"
"1133","year1991","34"
"1134","year1991","39"
"1135","year1991","19"
"1136","year1991","15"
"1137","year1991","34"
"1138","year1991","11"
"1139","year1991","24"
"1140","year1991","29"
"1141","year1991","26"
"1142","year1991","10"
"1143","year1991","3"
"1144","year1991","30"
"1145","year1991","25"
"1146","year1991","24"
"1147","year1991","3"
"1148","year1991","34"
"1149","year1991","15"
"1150","year1991","38"
"1151","year1991","8"
"1152","year1991","29"
"1153","year1991","11"
"1154","year1991","16"
"1155","year1991","5"
"1156","year1991","28"
"1157","year1991","29"
"1158","year1991","30"
"1159","year1991","29"
"1160","year1991","24"
"1161","year1991","13"
"1162","year1991","1"
"1163","year1991","34"
"1164","year1991","26"
"1165","year1991","32"
"1166","year1991","37"
"1167","year1991","18"
"1168","year1991","26"
"1169","year1991","38"
"1170","year1991","1"
"1171","year1991","24"
"1172","year1991","1"
"1173","year1991","6"
"1174","year1991","16"
"1175","year1991","39"
"1176","year1991","38"
"1177","year1991","30"
"1178","year1991","17"
"1179","year1991","36"
"1180","year1991","12"
"1181","year1991","22"
"1182","year1991","8"
"1183","year1991","32"
"1184","year1991","6"
"1185","year1991","39"
"1186","year1991","16"
"1187","year1991","4"
"1188","year1991","24"
"1189","year1991","27"
"1190","year1991","36"
"1191","year1991","14"
"1192","year1991","7"
"1193","year1991","30"
"1194","year1991","15"
"1195","year1991","1"
"1196","year1991","14"
"1197","year1991","30"
"1198","year1991","39"
"1199","year1991","29"
"1200","year1991","7"
"1201","year1991","22"
"1202","year1991","9"
"1203","year1991","1"
"1204","year1991","32"
"1205","year1991","26"
"1206","year1991","10"
"1207","year1991","23"
"1208","year1991","26"
"1209","year1991","13"
"1210","year1991","31"
"1211","year1991","36"
"1212","year1991","20"
"1213","year1991","16"
"1214","year1991","11"
"1215","year1991","40"
"1216","year1991","34"
"1217","year1991","5"
"1218","year1991","2"
"1219","year1991","27"
"1220","year1991","37"
"1221","year1991","32"
"1222","year1991","22"
"1223","year1991","13"
"1224","year1991","29"
"1225","year1991","16"
"1226","year1991","22"
"1227","year1991","26"
"1228","year1991","19"
"1229","year1991","23"
"1230","year1991","18"
"1231","year1991","5"
"1232","year1991","37"
"1233","year1991","39"
"1234","year1991","28"
"1235","year1991","1"
"1236","year1991","7"
"1237","year1991","38"
"1238","year1991","40"
"1239","year1991","9"
"1240","year1991","25"
"1241","year1991","31"
"1242","year1991","6"
"1243","year1991","22"
"1244","year1991","20"
"1245","year1991","30"
"1246","year1991","1"
"1247","year1991","8"
"1248","year1991","38"
"1249","year1991","28"
"1250","year1991","20"
"1251","year1991","33"
